doi,affiliation
10.1093/bib/bbae122,"Ontario Institute for Cancer Research (Toronto, Canada)"
10.1101/2023.11.29.569306,
10.12688/openreseurope.15364.2,"EOSC (Brussels, Belgium) | Universidad Politécnica de Madrid (Madrid, Spain)"
10.47912/jscdm.130,
10.12688/openreseurope.15364.1,
10.1186/s13326-022-00264-6,"Leids Universitair Medisch Centrum (Leiden, Netherlands)"
10.1111/pce.14258,"Universidad Politécnica de Madrid (Madrid, Spain)"
10.15497/RDA00068,
10.17863/CAM.77969,
10.1101/2021.07.27.21261169,
10.1093/jxb/eraa485,"Universidad Politécnica de Madrid (Madrid, Spain)"
10.5281/zenodo.4541002,
10.48550/ARXIV.2101.10883,
10.1101/2020.08.31.275206,
10.1101/2020.04.27.063974,
10.12688/f1000research.18236.1,"Database Center for Life Science (Tokyo, Japan)"
10.7287/peerj.preprints.27829,
10.7287/peerj.preprints.27829v2,
10.1093/gigascience/giz147,"Universidad Politécnica de Madrid (Madrid, Spain)"
10.1038/s41597-019-0248-6,"CSIC - Centro de Biotecnología y Genómica de Plantas (CBGP-INIA) (Pozuelo de Alarcon, Spain)"
10.12688/f1000research.18238.1,
10.1038/s41597-019-0184-5,"CSIC - Centro de Biotecnología y Genómica de Plantas (CBGP-INIA) (Pozuelo de Alarcon, Spain)"
10.7287/peerj.preprints.27829v1,
10.1101/649202,
dx.doi.org/10.17504/protocols.io.x6nfrde,
10.17504/protocols.io.x6nfrde,
10.1111/nph.15405,"CSIC - Centro de Biotecnología y Genómica de Plantas (CBGP-INIA) (Pozuelo de Alarcon, Spain) | Universidad Politécnica de Madrid (Madrid, Spain)"
10.1038/sdata.2018.271,"CSIC - Centro de Biotecnología y Genómica de Plantas (CBGP-INIA) (Pozuelo de Alarcon, Spain)"
10.1101/418376,
10.1002/humu.23542,"Maastricht Universitair Medisch Centrum+ (Maastricht, Netherlands)"
