Institution Name,ROR_ID,Latitude,Longitude
The University of Texas System,https://ror.org/01gek1696,30.26715,-97.74306
Agricultural Research Service,https://ror.org/02d2m2044,38.89511,-77.03637
California Institute of Technology,https://ror.org/05dxps055,34.14778,-118.14452
Baylor College of Medicine,https://ror.org/02pttbw34,29.76328,-95.36327
Centre for Plant Biotechnology and Genomics,https://ror.org/04mfzb702,40.43293,-3.81338
Lawrence Berkeley National Laboratory,https://ror.org/02jbv0t02,37.87159,-122.27275
Universidad Politécnica de Madrid,https://ror.org/03n6nwv02,40.4165,-3.70256
Ontario Institute for Cancer Research,https://ror.org/043q8yx54,43.70643,-79.39864
Daniel K. Inouye U.S. Pacific Basin Agricultural Research Center,https://ror.org/03h6erk64,19.72991,-155.09073
American Type Culture Collection,https://ror.org/03thhhv76,38.75095,-77.47527
University of Oxford,https://ror.org/052gg0110,51.75222,-1.25596
Tampere University,https://ror.org/033003e23,61.49911,23.78712
University of Copenhagen,https://ror.org/035b05819,55.67594,12.56553
University of Tartu,https://ror.org/03z77qz90,58.38062,26.72509
Barcelona Supercomputing Center,https://ror.org/05sd8tv96,41.38879,2.15899
University of Amsterdam,https://ror.org/04dkp9463,52.37403,4.88969
Critical Path Institute,https://ror.org/02mgtg880,32.22174,-110.92648
Amsterdam University Medical Centers,https://ror.org/05grdyy37,52.37403,4.88969
Heidelberg University,https://ror.org/04rcqnp59,41.1145,-83.17797
Heidelberg University,https://ror.org/038t36y30,49.40768,8.69079
Leiden University,https://ror.org/027bh9e22,52.15833,4.49306
Radboud University Nijmegen,https://ror.org/016xsfp80,51.8425,5.85278
Canadian Institutes of Health Research,https://ror.org/01gavpb45,45.41117,-75.69812
University Medical Center Groningen,https://ror.org/03cv38k47,53.21917,6.56667
Leiden University Medical Center,https://ror.org/05xvt9f17,52.15833,4.49306
University of Groningen,https://ror.org/012p63287,53.21917,6.56667
University Hospital Heidelberg,https://ror.org/013czdx64,49.40768,8.69079
National Institute of Biology,https://ror.org/03s5t0r17,46.05108,14.50513
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,https://ror.org/011q66e29,40.4165,-3.70256
Maastricht University,https://ror.org/02jz4aj89,50.84833,5.68889
Utrecht University,https://ror.org/04pp8hn57,52.09083,5.12222
University of Salford,https://ror.org/01tmqtf75,53.48771,-2.29042
University of Edinburgh,https://ror.org/01nrxwf90,55.95206,-3.19648
Swinburne University of Technology,https://ror.org/031rekg67,-37.814,144.96332
Australian Research Data Commons,https://ror.org/038sjwq14,-37.814,144.96332
Dutch Research Council,https://ror.org/04jsz6e67,52.07667,4.29861
Netherlands eScience Center,https://ror.org/00rbjv475,52.37403,4.88969
Bielefeld University,https://ror.org/02hpadn98,52.03333,8.53333
University of Cambridge,https://ror.org/013meh722,52.2,0.11667
University of Gothenburg,https://ror.org/01tm6cn81,57.70716,11.96679
Ruhr University Bochum,https://ror.org/04tsk2644,51.48165,7.21648
Kyoto University,https://ror.org/02kpeqv85,35.02107,135.75385
National Institutes of Health,https://ror.org/01cwqze88,38.98067,-77.10026
National Institutes of Health,https://ror.org/045p44t13,3.08507,101.53281
Harvard University,https://ror.org/03vek6s52,42.3751,-71.10561
Chinese Academy of Sciences,https://ror.org/034t30j35,39.9075,116.39723
University of Giessen,https://ror.org/033eqas34,50.58727,8.67554
Osaka University,https://ror.org/035t8zc32,34.69379,135.50107
Tohoku University,https://ror.org/01dq60k83,38.26667,140.86667
