doi,legalname,legalshortname,websiteurl,country
10.1093/bib/bbae122,The University of Texas System,UT System,http://www.utsystem.edu/,United States
10.1093/bib/bbae122,Agricultural Research Service,ARS,http://www.ars.usda.gov/main/main.htm,United States
10.1093/bib/bbae122,California Institute of Technology,CIT,http://www.caltech.edu/,United States
10.1093/bib/bbae122,Baylor College of Medicine,BCM,https://www.bcm.edu/,United States
10.1093/bib/bbae122,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1093/bib/bbae122,Lawrence Berkeley National Laboratory,LBL,http://www.lbl.gov/,United States
10.1093/bib/bbae122,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1093/bib/bbae122,Ontario Institute for Cancer Research,OICR,http://oicr.on.ca/,Canada
10.1093/bib/bbae122,Daniel K. Inouye U.S. Pacific Basin Agricultural Research Center,Daniel K. Inouye U.S. Pacific Basin Agricultural Research Center,https://www.ars.usda.gov/pacific-west-area/hilo-hi/daniel-k-inouye-us-pacific-basin-agricultural-research-center/,United States
10.1093/bib/bbae122,American Type Culture Collection,ATCC,http://www.atcc.org/,United States
10.1101/2023.11.29.569306,The University of Texas System,UT System,http://www.utsystem.edu/,United States
10.1101/2023.11.29.569306,Agricultural Research Service,ARS,http://www.ars.usda.gov/main/main.htm,United States
10.1101/2023.11.29.569306,California Institute of Technology,CIT,http://www.caltech.edu/,United States
10.1101/2023.11.29.569306,Baylor College of Medicine,BCM,https://www.bcm.edu/,United States
10.1101/2023.11.29.569306,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1101/2023.11.29.569306,Lawrence Berkeley National Laboratory,LBL,http://www.lbl.gov/,United States
10.1101/2023.11.29.569306,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1101/2023.11.29.569306,Ontario Institute for Cancer Research,OICR,http://oicr.on.ca/,Canada
